id,name,summary,description,price,category,availability,reviews,product_img
1,"Classic Penny Loafer","Timeless leather penny loafer with premium craftsmanship","Hand-crafted from full-grain Italian leather, these penny loafers feature traditional moccasin stitching, a comfortable leather lining, and durable rubber soles. Perfect for both business and casual wear.",159.99,"[""Loafers"",""Formal"",""Men's""]",0,"[{""rating"":5,""comment"":""Most comfortable dress shoes I've owned. True to size.""},{""rating"":4,""comment"":""Great quality, but needed a few days to break in.""}]",https://i.imgur.com/sGifvdD.jpeg
2,"Suede Driving Loafer","Casual suede loafer with driving sole","Luxurious suede upper with distinctive nubbed rubber sole for enhanced grip while driving. Features memory foam insole and flexible construction for all-day comfort.",129.99,"[""Loafers"",""Casual"",""Men's""]",0,"[{""rating"":5,""comment"":""Perfect weekend shoe. So comfortable!""},{""rating"":4,""comment"":""Love the style but runs slightly large.""}]",
3,"Urban Runner X1","Modern lifestyle sneaker with cutting-edge design","Featuring a breathable knit upper, responsive cushioning, and sleek profile. The perfect blend of style and comfort for everyday wear.",89.99,"[""Sneakers"",""Casual"",""Unisex""]",0,"[{""rating"":5,""comment"":""These are fire! So comfortable and look amazing.""},{""rating"":4,""comment"":""Great daily sneaker, but white gets dirty quickly.""}]",
4,"Retro Court Classic","Vintage-inspired tennis sneaker","Clean lines and classic styling make this leather court shoe a timeless addition to any wardrobe. Features cushioned insole and vulcanized rubber outsole.",74.99,"[""Sneakers"",""Casual"",""Unisex""]",0,"[{""rating"":5,""comment"":""Perfect classic look, goes with everything!"},{""rating"":3,""comment"":""Comfortable but scuffs easily.""}]",https://i.imgur.com/TfU3d2f.jpeg
5,"Adventure Strap Sandal","Durable outdoor sandal with adjustable straps","Three-point adjustment system ensures perfect fit. Features quick-dry webbing, antimicrobial footbed, and rugged outsole for various terrain.",69.99,"[""Sandals"",""Outdoor"",""Unisex""]",0,"[{""rating"":5,""comment"":""Survived a week-long camping trip. Very durable!"},{""rating"":4,""comment"":""Great for hiking and water activities.""}]",https://i.imgur.com/wY2xA9G.jpeg
6,"Comfort Slide Sandal","Cushioned slide sandal for everyday wear","Features contoured footbed with arch support, soft foam midsole, and water-resistant construction. Perfect for pool or casual wear.",34.99,"[""Sandals"",""Casual"",""Unisex""]",0,"[{""rating"":5,""comment"":""Most comfortable slides I've ever owned!"},{""rating"":4,""comment"":""Great pool shoes but size runs small.""}]",https://i.imgur.com/DqtbNjd.jpeg
7,"Marathon Pro","Professional-grade running shoe for serious athletes","Features responsive foam cushioning, carbon fiber plate, and engineered mesh upper. Designed for maximum performance in long-distance running.",179.99,"[""Sport Shoes"",""Running"",""Unisex""]",0,"[{""rating"":5,""comment"":""Shaved 5 minutes off my marathon time!"},{""rating"":4,""comment"":""Great for races but expensive.""}]",
8,"Court Dominator","High-performance tennis shoe","Designed for quick lateral movements with reinforced sides and herringbone traction pattern. Features cushioned midsole for impact protection.",129.99,"[""Sport Shoes"",""Tennis"",""Unisex""]",0,"[{""rating"":5,""comment"":""Perfect grip on court surfaces.""},{""rating"":4,""comment"":""Supportive but needs breaking in.""}]",
9,"Classic Chelsea Boot","Timeless elastic-sided ankle boot","Crafted from premium leather with elastic side panels and pull tabs. Features Goodyear welt construction and leather soles.",199.99,"[""Boots"",""Formal"",""Unisex""]",0,"[{""rating"":5,""comment"":""These boots are absolutely beautiful!"},{""rating"":4,""comment"":""Great quality but expensive.""}]",
10,"Combat Style Boot","Military-inspired casual boot","Features durable leather upper, speed-lacing system, and cushioned ankle collar. Includes oil-resistant rubber sole.",149.99,"[""Boots"",""Casual"",""Unisex""]",0,"[{""rating"":5,""comment"":""These boots are built to last forever.""},{""rating"":4,""comment"":""Look great but heavy.""}]",
11,"Alpine Explorer","Waterproof hiking boot for serious trails","Features Gore-Tex waterproof membrane, Vibram sole, and reinforced toe cap. Designed for challenging terrain and heavy loads.",219.99,"[""Hiking Boots"",""Outdoor"",""Unisex""]",0,"[{""rating"":5,""comment"":""Conquered Mount Whitney in these!"},{""rating"":4,""comment"":""Very durable but heavy.""}]",
12,"Trail Scout Light","Lightweight hiking boot for day hikes","Combines synthetic and mesh upper for breathability with waterproof membrane. Features EVA midsole and aggressive tread pattern.",139.99,"[""Hiking Boots"",""Outdoor"",""Unisex""]",0,"[{""rating"":5,""comment"":""Perfect for day hikes!"},{""rating"":4,""comment"":""Good grip but not fully waterproof.""}]",https://i.imgur.com/0ztZpbL.jpeg
13,"Beach Comfort Plus","Premium cushioned flip flops","Features extra-thick EVA foam sole, soft fabric strap, and textured footbed. Perfect for beach and casual wear.",29.99,"[""Flip Flops"",""Casual"",""Unisex""]",0,"[{""rating"":5,""comment"":""Like walking on clouds!"},{""rating"":4,""comment"":""Very comfortable but strap loosens over time.""}]",
14,"Surfer's Choice","Durable rubber flip flops","Made from natural rubber with textured sole for grip. Features quick-dry construction and anti-slip footbed.",24.99,"[""Flip Flops"",""Beach"",""Unisex""]",0,"[{""rating"":5,""comment"":""Perfect beach flip flops!"},{""rating"":4,""comment"":""Great grip but runs small.""}]",
15,"Maritime Classic","Traditional leather boat shoe","Hand-sewn moccasin construction with genuine leather upper. Features non-marking rubber sole and rust-resistant eyelets.",119.99,"[""Boat Shoes"",""Casual"",""Men's""]",0,"[{""rating"":5,""comment"":""Perfect summer shoe!"},{""rating"":4,""comment"":""Classic look but needs breaking in.""}]",https://i.imgur.com/RgMtePA.png
16,"Coastal Canvas","Casual canvas boat shoe","Lightweight canvas upper with traditional boat shoe styling. Features memory foam insole and striped rubber outsole.",59.99,"[""Boat Shoes"",""Casual"",""Unisex""]",0,"[{""rating"":5,""comment"":""So comfortable right out of the box!"},{""rating"":4,""comment"":""Great casual shoe but not very durable.""}]",https://i.imgur.com/G4GjizX.jpeg
17,"Professional Chef Clog","Kitchen-ready professional clog","Features slip-resistant sole, waterproof construction, and removable cushioned insole. Designed for long hours of standing.",89.99,"[""Clogs"",""Professional"",""Unisex""]",0,"[{""rating"":5,""comment"":""Perfect for 12-hour kitchen shifts!"},{""rating"":4,""comment"":""Very comfortable but runs wide.""}]",https://i.imgur.com/MzQ5TrI.jpeg
18,"Garden Comfort Clog","Waterproof garden clog","Made from easy-clean synthetic material with removable liner. Features aggressive tread pattern and heel strap.",39.99,"[""Clogs"",""Casual"",""Unisex""]",0,"[{""rating"":5,""comment"":""Perfect gardening shoes!"},{""rating"":4,""comment"":""Easy to clean but runs small.""}]",https://i.imgur.com/jgjPHtW.jpeg
19,"Aqua Grip Pro","Professional water sport shoe","Quick-dry mesh upper with reinforced toe cap. Features drainage ports and special grip sole for wet surfaces.",69.99,"[""Water Shoes"",""Sport"",""Unisex""]",0,"[{""rating"":5,""comment"":""Perfect for kayaking and rafting!"},{""rating"":4,""comment"":""Great grip but takes time to dry.""}]",
20,"Beach Walker","Lightweight water shoe for casual use","Minimal design with flexible mesh upper and protective rubber sole. Perfect for beach walking and light water activities.",29.99,"[""Water Shoes"",""Casual"",""Unisex""]",0,"[{""rating"":5,""comment"":""Great for beach walks!"},{""rating"":4,""comment"":""Comfortable but sand gets trapped inside.""}]",https://i.imgur.com/MBD86WA.jpeg